region_cn,region_en,year,natural_grassland_forage_10e7kg,crop_straw_forage_10e7kg,forage_demand_10e7kg,total_forage_supply_10e7kg,supply_demand_gap_10e7kg,supply_demand_ratio,data_source,source_id,dataset_name,is_sample
牧业地区,Pastoral Area,2000,9656.693597,1749.52127,71486.79702,11406.214867,-60080.582153,0.159557,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2001,9737.537886,1768.01526,70956.93945,11505.553146,-59451.386304,0.162148,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2002,10599.99588,1859.82956,74332.7956,12459.82544,-61872.97016,0.167622,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2003,10750.029,1820.45672,75206.09603,12570.48572,-62635.61031,0.167147,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2004,10251.70015,1999.977,81185.62402,12251.67715,-68933.94687,0.150909,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2005,10809.91359,2000.95085,84476.75629,12810.86444,-71665.89185,0.15165,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2006,10964.15796,2000.3547,82379.33648,12964.51266,-69414.82382,0.157376,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2007,10543.42167,2028.21898,76866.67058,12571.64065,-64295.02993,0.163551,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2008,10575.62047,2197.00799,72561.81396,12772.62846,-59789.1855,0.176024,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2009,11054.37379,2422.111615,74037.07713,13476.485405,-60560.591725,0.182023,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2010,10876.28833,2544.079073,74362.07347,13420.367403,-60941.706067,0.180473,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2011,11138.64456,2674.109734,76389.27914,13812.754294,-62576.524846,0.180821,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2012,11339.03018,2870.047756,76755.01626,14209.077936,-62545.938324,0.185122,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2013,12005.68172,3134.439409,78088.11759,15140.121129,-62947.996461,0.193885,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2014,11372.81113,3228.079496,81247.08474,14600.890626,-66646.194114,0.17971,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2015,11314.18961,3330.731447,82089.77068,14644.921057,-67444.849623,0.178401,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2016,11710.2281,3142.325015,79166.91533,14852.553115,-64314.362215,0.187611,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2017,11458.20179,3126.727552,77164.77225,14584.929342,-62579.842908,0.18901,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2018,11857.25781,3228.178134,76438.97915,15085.435944,-61353.543206,0.197353,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2019,12023.1069,3280.008229,81200.87894,15303.115129,-65897.763811,0.18846,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
牧业地区,Pastoral Area,2020,11872.93644,3288.589764,82778.61965,15161.526204,-67617.093446,0.183158,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2000,851.887785,1160.79946,14231.70512,2012.687245,-12219.017875,0.141423,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2001,908.077396,1354.83722,14910.34941,2262.914616,-12647.434794,0.151768,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2002,976.24711,1514.2051,16518.68605,2490.45221,-14028.23384,0.150766,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2003,999.373576,1480.64772,18288.09302,2480.021296,-15808.071724,0.135609,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2004,1029.209273,1661.13024,19834.61913,2690.339513,-17144.279617,0.135639,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
