region_id,old_npp_mean,new_npp_mean,diff,diff_pct,old_pixels,new_pixels
naqu-bange,0.1395,0.1546,0.015,10.8,900,9954
naqu-seni,0.2788,0.2196,-0.0592,-21.2,900,47125
naqu-nierong,0.2206,0.18,-0.0406,-18.4,900,28558
naqu-anduo,0.1536,0.6334,0.4798,312.3,900,282240
naqu-shenzha,0.1059,0.4652,0.3593,339.4,900,13575
changdu-karuo,0.3964,0.2714,-0.125,-31.5,900,32340
changdu-luolong,0.1931,0.5017,0.3086,159.8,900,17556
changdu-leiwuqi,0.2895,0.2417,-0.0479,-16.5,900,6844
changdu-jiangda,0.3286,0.2949,-0.0337,-10.2,900,8717
rikaze-xietongmen,0.236,0.1033,-0.1327,-56.2,900,53868
rikaze-jiangzi,0.1788,0.1211,-0.0578,-32.3,900,16652
rikaze-kangma,0.0813,0.4129,0.3316,407.7,900,22022
rikaze-zhongba,1.2957,0.9418,-0.354,-27.3,900,48260
shannan-cuona,0.1767,0.9912,0.8146,461.0,900,54740
ali-gaize,1.5058,2.0252,0.5194,34.5,900,11572
yushu-chengduo,0.216,0.2154,-0.0006,-0.3,900,46206
yushu-zaduo,0.1985,0.1556,-0.043,-21.6,900,137484
guoluo-maqin,0.3571,0.2662,-0.0909,-25.5,900,20845
guoluo-jiuzhi,0.368,0.3091,-0.0589,-16.0,900,12054
haibei-gangcha,0.4125,0.3076,-0.1049,-25.4,900,18720
huangnan-zeku,0.3912,0.3441,-0.0472,-12.1,900,17848
ganzi-shiqu,0.2893,0.2289,-0.0604,-20.9,900,18532
ganzi-seda,0.3763,0.3092,-0.0671,-17.8,900,8910
aba-hongyuan,0.4412,0.5137,0.0725,16.4,900,13414
gannan-luqu,0.3479,0.4243,0.0764,22.0,900,3708
linzhi-bayi,0.4442,0.5482,0.1039,23.4,900,44304
