region_id,scene_date,ndvi,ndvi_change,vegetation_cover,snow_cover,grassland_type,degradation_level,carrying_capacity_sheep_unit,data_source,source_id,dataset_name,is_sample
aba-hongyuan,2024-01-15,0.3559,0%,36%,20.8%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-02-15,0.3774,0%,38%,12.7%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-03-15,0.3906,0%,39%,17.7%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-04-15,0.4831,0%,48%,7.3%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-05-15,0.4761,0%,48%,6.5%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-06-15,0.4791,0%,48%,6.9%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-07-15,0.4783,0%,48%,4.6%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-08-15,0.4488,0%,45%,0.9%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-09-15,0.3587,0%,36%,0.0%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-10-15,0.3821,0%,38%,1.7%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-11-15,0.3473,0%,35%,5.8%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
aba-hongyuan,2024-12-15,0.3102,0%,31%,0.0%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-01-15,0.228,0%,23%,57.5%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-02-15,0.2599,0%,26%,55.2%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-03-15,0.311,0%,31%,53.1%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-04-15,0.2932,0%,29%,46.3%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-05-15,0.2839,0%,28%,39.2%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-06-15,0.3582,0%,36%,38.7%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-07-15,0.3525,0%,35%,32.5%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-08-15,0.3074,0%,31%,25.9%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-09-15,0.321,0%,32%,24.1%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-10-15,0.2797,0%,28%,29.5%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-11-15,0.2045,0%,20%,30.5%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
ali-gaize,2024-12-15,0.2363,0%,24%,25.4%,高寒草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
changdu-jiangda,2024-01-15,0.3629,0%,36%,31.1%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
changdu-jiangda,2024-02-15,0.3528,0%,35%,21.4%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
changdu-jiangda,2024-03-15,0.4549,0%,45%,21.8%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
changdu-jiangda,2024-04-15,0.4318,0%,43%,15.6%,山地草甸,待评估,,modis,modis-ndvi-snow-2024,MODIS_MOD13Q1_MOD10A1_2024,false
