region_id,scene_date,ndvi,ndvi_change,vegetation_cover,snow_cover,grassland_type,degradation_level,carrying_capacity_sheep_unit,data_source,source_id,dataset_name,is_sample
aba-hongyuan,2024-01-15,0.3559,0%,36%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-02-15,0.3774,0%,38%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-03-15,0.3906,0%,39%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-04-15,0.4831,0%,48%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-05-15,0.4761,0%,48%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-06-15,0.4791,0%,48%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-07-15,0.4783,0%,48%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-08-15,0.4488,0%,45%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-09-15,0.3587,0%,36%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-10-15,0.3821,0%,38%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-11-15,0.3473,0%,35%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
aba-hongyuan,2024-12-15,0.3102,0%,31%,0%,山地草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
ali-gaize,2024-01-15,0.228,0%,23%,0%,高寒草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
ali-gaize,2024-02-15,0.2599,0%,26%,0%,高寒草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
ali-gaize,2024-03-15,0.311,0%,31%,0%,高寒草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
ali-gaize,2024-04-15,0.2932,0%,29%,0%,高寒草甸,待评估,,sample,remote-sensing,Remote_Sensing,true
