region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample
naqu-bange,CMFD_naqu-bange,2020-01-01 00:00,-12.1,0.59,4.3,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2020-01-01 00:00,-12.2,0.86,2.3,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2020-01-01 00:00,-19.9,0.89,1.7,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2020-01-01 00:00,-16.6,0.78,2.8,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2020-01-01 00:00,-11.0,0.51,4.6,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2020-01-01 00:00,-2.9,0.61,1.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2020-01-01 00:00,-6.7,0.59,2.0,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2020-01-01 00:00,-9.1,0.58,1.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2020-01-01 00:00,-11.3,0.54,2.1,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2020-01-01 00:00,-3.8,0.51,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2020-01-01 00:00,-4.0,0.52,2.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2020-01-01 00:00,-10.2,0.52,2.9,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2020-01-01 00:00,-15.4,0.95,3.5,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2020-01-01 00:00,-13.5,0.7,1.6,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2020-01-01 00:00,-13.3,0.57,2.8,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2020-01-01 00:00,-11.7,0.84,0.7,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2020-01-01 00:00,-12.2,1.16,1.5,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2020-01-01 00:00,-9.8,0.64,1.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2020-01-01 00:00,-10.0,0.82,1.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2020-01-01 00:00,-12.4,0.58,2.1,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2020-01-01 00:00,-10.9,0.64,2.0,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2020-01-01 00:00,-12.2,0.84,2.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2020-01-01 00:00,-9.8,0.57,2.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2020-01-01 00:00,-7.9,0.91,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2020-01-01 00:00,-8.4,0.74,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2020-02-01 00:00,-11.5,0.4,3.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2020-02-01 00:00,-9.2,0.49,2.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2020-02-01 00:00,-16.8,0.55,2.1,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2020-02-01 00:00,-13.8,0.37,2.6,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2020-02-01 00:00,-9.7,0.29,3.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2020-02-01 00:00,-0.1,0.44,1.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2020-02-01 00:00,-3.6,0.45,2.0,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2020-02-01 00:00,-6.3,0.5,1.5,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2020-02-01 00:00,-7.8,0.36,2.1,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2020-02-01 00:00,-1.4,0.23,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2020-02-01 00:00,-1.6,0.21,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2020-02-01 00:00,-8.2,0.2,3.0,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2020-02-01 00:00,-12.8,0.01,2.5,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2020-02-01 00:00,-11.6,0.73,1.8,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2020-02-01 00:00,-9.3,0.2,2.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2020-02-01 00:00,-11.2,0.53,1.0,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2020-02-01 00:00,-9.5,0.55,1.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2020-02-01 00:00,-8.7,0.32,1.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2020-02-01 00:00,-8.3,0.51,1.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2020-02-01 00:00,-9.4,0.24,2.5,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2020-02-01 00:00,-9.8,0.4,2.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2020-02-01 00:00,-10.7,0.52,2.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2020-02-01 00:00,-7.6,0.54,2.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2020-02-01 00:00,-7.3,0.73,2.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2020-02-01 00:00,-6.9,0.4,2.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2020-03-01 00:00,-4.8,1.18,4.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2020-03-01 00:00,-3.8,1.41,2.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2020-03-01 00:00,-12.7,1.67,2.0,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2020-03-01 00:00,-9.2,1.31,3.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2020-03-01 00:00,-4.8,1.07,4.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2020-03-01 00:00,5.0,1.22,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2020-03-01 00:00,1.2,1.35,2.6,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2020-03-01 00:00,-1.1,1.62,1.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2020-03-01 00:00,-2.9,1.57,2.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2020-03-01 00:00,3.0,1.08,3.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2020-03-01 00:00,3.0,1.13,2.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2020-03-01 00:00,-3.7,1.04,3.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2020-03-01 00:00,-6.3,1.04,3.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2020-03-01 00:00,-7.3,2.19,1.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2020-03-01 00:00,-3.9,1.04,3.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2020-03-01 00:00,-3.5,1.44,1.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2020-03-01 00:00,-3.2,1.31,2.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2020-03-01 00:00,-2.3,1.69,2.1,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2020-03-01 00:00,-3.3,2.29,1.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2020-03-01 00:00,-4.1,1.35,2.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2020-03-01 00:00,-3.8,1.73,2.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2020-03-01 00:00,-3.9,1.63,2.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2020-03-01 00:00,-2.4,1.7,2.5,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2020-03-01 00:00,-1.5,2.2,2.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2020-03-01 00:00,-2.2,2.13,2.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2020-04-01 00:00,-2.2,0.31,3.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
