region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample
naqu-bange,CMFD_naqu-bange,2024-01-01 00:00,-10.5,0.1,2.7,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2024-01-01 00:00,-11.7,0.33,1.9,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2024-01-01 00:00,-17.8,0.19,1.7,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2024-01-01 00:00,-13.8,0.11,2.3,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2024-01-01 00:00,-11.1,0.04,2.6,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2024-01-01 00:00,-3.6,0.0,1.4,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2024-01-01 00:00,-6.0,0.0,1.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2024-01-01 00:00,-9.2,0.01,0.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2024-01-01 00:00,-11.8,0.0,2.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2024-01-01 00:00,-3.9,0.0,2.0,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2024-01-01 00:00,-3.7,0.0,1.8,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2024-01-01 00:00,-10.4,0.0,1.8,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2024-01-01 00:00,-8.9,0.0,3.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2024-01-01 00:00,-11.7,0.14,1.3,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2024-01-01 00:00,-12.3,0.0,2.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2024-01-01 00:00,-10.4,0.09,1.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2024-01-01 00:00,-11.3,0.25,1.7,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2024-01-01 00:00,-10.8,0.01,1.5,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2024-01-01 00:00,-10.7,0.11,1.7,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2024-01-01 00:00,-11.5,0.01,4.0,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2024-01-01 00:00,-12.0,0.02,2.5,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2024-01-01 00:00,-11.2,0.06,2.2,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2024-01-01 00:00,-9.8,0.06,1.9,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2024-01-01 00:00,-9.3,0.11,2.0,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2024-01-01 00:00,-9.4,0.05,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2024-02-01 00:00,-8.2,0.05,5.0,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2024-02-01 00:00,-8.3,0.26,3.7,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2024-02-01 00:00,-13.4,0.29,3.3,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2024-02-01 00:00,-11.0,0.09,4.6,0,高,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2024-02-01 00:00,-7.9,0.0,4.5,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2024-02-01 00:00,0.3,0.1,2.1,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2024-02-01 00:00,-3.1,0.19,2.5,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2024-02-01 00:00,-6.1,0.21,2.1,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2024-02-01 00:00,-9.3,0.21,2.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2024-02-01 00:00,-0.6,0.0,3.3,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
