region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample,imported_at,n_grid_cells
naqu-bange,CMFD_regional_naqu-bange,2015-01-01 00:00,-13.3,5.6,3.4,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.309298+00:00,529
naqu-seni,CMFD_regional_naqu-seni,2015-01-01 00:00,-14.4,7.8,2.3,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.309701+00:00,280
naqu-nierong,CMFD_regional_naqu-nierong,2015-01-01 00:00,-16.4,5.9,2.6,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.309891+00:00,187
naqu-anduo,CMFD_regional_naqu-anduo,2015-01-01 00:00,-19.2,3.9,4.0,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.310157+00:00,1872
naqu-shenzha,CMFD_regional_naqu-shenzha,2015-01-01 00:00,-14.6,5.6,3.5,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.310321+00:00,440
changdu-karuo,CMFD_regional_changdu-karuo,2015-01-01 00:00,-9.6,4.2,1.6,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.310465+00:00,208
changdu-luolong,CMFD_regional_changdu-luolong,2015-01-01 00:00,-10.5,5.9,2.8,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.310592+00:00,140
changdu-leiwuqi,CMFD_regional_changdu-leiwuqi,2015-01-01 00:00,-10.3,3.9,2.0,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.310727+00:00,120
changdu-jiangda,CMFD_regional_changdu-jiangda,2015-01-01 00:00,-10.1,3.1,1.6,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.310874+00:00,256
rikaze-xietongmen,CMFD_regional_rikaze-xietongmen,2015-01-01 00:00,-12.1,4.1,2.6,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.311022+00:00,209
rikaze-jiangzi,CMFD_regional_rikaze-jiangzi,2015-01-01 00:00,-9.2,1.3,3.1,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.311158+00:00,77
rikaze-kangma,CMFD_regional_rikaze-kangma,2015-01-01 00:00,-11.0,1.4,3.8,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.311287+00:00,84
rikaze-zhongba,CMFD_regional_rikaze-zhongba,2015-01-01 00:00,-17.7,54.9,3.5,0,高,高,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.311494+00:00,702
shannan-cuona,CMFD_regional_shannan-cuona,2015-01-01 00:00,1.1,20.4,1.8,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.311678+00:00,480
ali-gaize,CMFD_regional_ali-gaize,2015-01-01 00:00,-22.4,8.8,3.2,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.311927+00:00,1892
yushu-chengduo,CMFD_regional_yushu-chengduo,2015-01-01 00:00,-14.7,10.6,2.6,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312063+00:00,323
yushu-zaduo,CMFD_regional_yushu-zaduo,2015-01-01 00:00,-16.0,5.2,2.6,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312202+00:00,578
guoluo-maqin,CMFD_regional_guoluo-maqin,2015-01-01 00:00,-15.7,6.5,2.3,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312331+00:00,352
guoluo-jiuzhi,CMFD_regional_guoluo-jiuzhi,2015-01-01 00:00,-13.9,14.3,2.4,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312458+00:00,150
haibei-gangcha,CMFD_regional_haibei-gangcha,2015-01-01 00:00,-13.2,3.3,2.2,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312593+00:00,144
huangnan-zeku,CMFD_regional_huangnan-zeku,2015-01-01 00:00,-13.3,12.4,1.7,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312710+00:00,112
ganzi-shiqu,CMFD_regional_ganzi-shiqu,2015-01-01 00:00,-16.1,11.9,2.0,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312850+00:00,380
ganzi-seda,CMFD_regional_ganzi-seda,2015-01-01 00:00,-12.4,4.2,2.2,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.312972+00:00,208
aba-hongyuan,CMFD_regional_aba-hongyuan,2015-01-01 00:00,-8.7,10.6,1.9,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.313090+00:00,196
gannan-luqu,CMFD_regional_gannan-luqu,2015-01-01 00:00,-10.5,13.4,1.8,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.313203+00:00,80
linzhi-bayi,CMFD_regional_linzhi-bayi,2015-01-01 00:00,-7.4,8.4,2.2,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.313312+00:00,144
naqu-bange,CMFD_regional_naqu-bange,2015-02-01 00:00,-9.0,3.0,4.1,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328000+00:00,529
naqu-seni,CMFD_regional_naqu-seni,2015-02-01 00:00,-10.0,3.3,2.6,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328265+00:00,280
naqu-nierong,CMFD_regional_naqu-nierong,2015-02-01 00:00,-10.7,1.6,3.4,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328495+00:00,187
