region_id,region_name,date,ndvi
naqu-bange,那曲市班戈县,2024-01,0.13355
naqu-seni,那曲市色尼区,2024-01,0.0901
naqu-nierong,那曲市聂荣县,2024-01,0.18680000000000002
naqu-anduo,那曲市安多县,2024-01,0.0111
naqu-shenzha,那曲市申扎县,2024-01,0.10020000000000001
changdu-karuo,昌都市卡若区,2024-01,0.1004
changdu-luolong,昌都市洛隆县,2024-01,0.16075
changdu-leiwuqi,昌都市类乌齐县,2024-01,0.20720000000000002
changdu-jiangda,昌都市江达县,2024-01,0.41040000000000004
rikaze-xietongmen,日喀则市谢通门县,2024-01,0.11635000000000001
rikaze-jiangzi,日喀则市江孜县,2024-01,0.10540000000000001
rikaze-kangma,日喀则市康马县,2024-01,0.10215
rikaze-zhongba,日喀则市仲巴县,2024-01,0.12385
shannan-cuona,山南市措那县,2024-01,0.23465
ali-gaize,阿里地区改则县,2024-01,0.07445
yushu-chengduo,玉树州称多县,2024-01,0.08315
yushu-zaduo,玉树州杂多县,2024-01,0.26185
guoluo-maqin,果洛州玛沁县,2024-01,0.06015
guoluo-jiuzhi,果洛州久治县,2024-01,0.1115
haibei-gangcha,海北州刚察县,2024-01,0.11275
huangnan-zeku,黄南州泽库县,2024-01,0.13090000000000002
ganzi-shiqu,甘孜州石渠县,2024-01,0.14450000000000002
ganzi-seda,甘孜州色达县,2024-01,0.1067
aba-hongyuan,阿坝州红原县,2024-01,0.27595000000000003
gannan-luqu,甘南州碌曲县,2024-01,0.09705000000000001
naqu-bange,那曲市班戈县,2024-02,0.13285
naqu-seni,那曲市色尼区,2024-02,0.0994
naqu-nierong,那曲市聂荣县,2024-02,0.18175
naqu-anduo,那曲市安多县,2024-02,0.07640000000000001
naqu-shenzha,那曲市申扎县,2024-02,0.09915
changdu-karuo,昌都市卡若区,2024-02,0.09835
changdu-luolong,昌都市洛隆县,2024-02,0.1809
changdu-leiwuqi,昌都市类乌齐县,2024-02,0.1905
changdu-jiangda,昌都市江达县,2024-02,0.40385000000000004
rikaze-xietongmen,日喀则市谢通门县,2024-02,0.09905
rikaze-jiangzi,日喀则市江孜县,2024-02,0.0998
rikaze-kangma,日喀则市康马县,2024-02,0.08495
rikaze-zhongba,日喀则市仲巴县,2024-02,0.14780000000000001
shannan-cuona,山南市措那县,2024-02,0.20535
ali-gaize,阿里地区改则县,2024-02,0.0644
yushu-chengduo,玉树州称多县,2024-02,0.0796
yushu-zaduo,玉树州杂多县,2024-02,0.18180000000000002
guoluo-maqin,果洛州玛沁县,2024-02,0.0952
guoluo-jiuzhi,果洛州久治县,2024-02,0.09455000000000001
haibei-gangcha,海北州刚察县,2024-02,0.11425
huangnan-zeku,黄南州泽库县,2024-02,0.14335
ganzi-shiqu,甘孜州石渠县,2024-02,0.1557
ganzi-seda,甘孜州色达县,2024-02,0.10635
aba-hongyuan,阿坝州红原县,2024-02,0.26030000000000003
gannan-luqu,甘南州碌曲县,2024-02,0.10785
naqu-bange,那曲市班戈县,2024-03,0.12925
naqu-seni,那曲市色尼区,2024-03,0.116
naqu-nierong,那曲市聂荣县,2024-03,0.18445
naqu-anduo,那曲市安多县,2024-03,0.050300000000000004
naqu-shenzha,那曲市申扎县,2024-03,0.09185
changdu-karuo,昌都市卡若区,2024-03,0.0821
changdu-luolong,昌都市洛隆县,2024-03,0.17055
changdu-leiwuqi,昌都市类乌齐县,2024-03,0.1317
changdu-jiangda,昌都市江达县,2024-03,0.41695000000000004
rikaze-xietongmen,日喀则市谢通门县,2024-03,0.10075
rikaze-jiangzi,日喀则市江孜县,2024-03,0.09505000000000001
rikaze-kangma,日喀则市康马县,2024-03,0.09230000000000001
rikaze-zhongba,日喀则市仲巴县,2024-03,0.1285
shannan-cuona,山南市措那县,2024-03,0.0876
ali-gaize,阿里地区改则县,2024-03,0.06365
yushu-chengduo,玉树州称多县,2024-03,0.0829
yushu-zaduo,玉树州杂多县,2024-03,0.13685
guoluo-maqin,果洛州玛沁县,2024-03,0.056650000000000006
guoluo-jiuzhi,果洛州久治县,2024-03,0.1192
haibei-gangcha,海北州刚察县,2024-03,0.1325
huangnan-zeku,黄南州泽库县,2024-03,0.13615
ganzi-shiqu,甘孜州石渠县,2024-03,0.1507
ganzi-seda,甘孜州色达县,2024-03,0.10435
aba-hongyuan,阿坝州红原县,2024-03,0.27865
gannan-luqu,甘南州碌曲县,2024-03,0.0916
naqu-bange,那曲市班戈县,2024-04,0.13265000000000002
naqu-seni,那曲市色尼区,2024-04,0.11380000000000001
naqu-nierong,那曲市聂荣县,2024-04,0.16625
naqu-anduo,那曲市安多县,2024-04,0.09280000000000001
naqu-shenzha,那曲市申扎县,2024-04,0.09895000000000001
changdu-karuo,昌都市卡若区,2024-04,0.07695
changdu-luolong,昌都市洛隆县,2024-04,0.1593
changdu-leiwuqi,昌都市类乌齐县,2024-04,0.14145000000000002
changdu-jiangda,昌都市江达县,2024-04,0.47125
rikaze-xietongmen,日喀则市谢通门县,2024-04,0.12185
rikaze-jiangzi,日喀则市江孜县,2024-04,0.0998
rikaze-kangma,日喀则市康马县,2024-04,0.08795
rikaze-zhongba,日喀则市仲巴县,2024-04,0.12660000000000002
shannan-cuona,山南市措那县,2024-04,0.054950000000000006
ali-gaize,阿里地区改则县,2024-04,0.0591
yushu-chengduo,玉树州称多县,2024-04,0.1024
yushu-zaduo,玉树州杂多县,2024-04,0.14200000000000002
guoluo-maqin,果洛州玛沁县,2024-04,0.11765
guoluo-jiuzhi,果洛州久治县,2024-04,0.13635
haibei-gangcha,海北州刚察县,2024-04,0.13240000000000002
huangnan-zeku,黄南州泽库县,2024-04,0.15965000000000001
ganzi-shiqu,甘孜州石渠县,2024-04,0.16705
ganzi-seda,甘孜州色达县,2024-04,0.10060000000000001
aba-hongyuan,阿坝州红原县,2024-04,0.42300000000000004
gannan-luqu,甘南州碌曲县,2024-04,0.12290000000000001
naqu-bange,那曲市班戈县,2024-05,0.17565
naqu-seni,那曲市色尼区,2024-05,0.1562
naqu-nierong,那曲市聂荣县,2024-05,0.33380000000000004
naqu-anduo,那曲市安多县,2024-05,0.13440000000000002
naqu-shenzha,那曲市申扎县,2024-05,0.0864
changdu-karuo,昌都市卡若区,2024-05,0.1468
changdu-luolong,昌都市洛隆县,2024-05,0.30260000000000004
changdu-leiwuqi,昌都市类乌齐县,2024-05,0.18965
changdu-jiangda,昌都市江达县,2024-05,0.5671
rikaze-xietongmen,日喀则市谢通门县,2024-05,0.14585
rikaze-jiangzi,日喀则市江孜县,2024-05,0.11620000000000001
rikaze-kangma,日喀则市康马县,2024-05,0.1177
rikaze-zhongba,日喀则市仲巴县,2024-05,0.13165000000000002
shannan-cuona,山南市措那县,2024-05,0.34765
ali-gaize,阿里地区改则县,2024-05,0.0741
yushu-chengduo,玉树州称多县,2024-05,0.15575
yushu-zaduo,玉树州杂多县,2024-05,0.24285
guoluo-maqin,果洛州玛沁县,2024-05,0.10705
guoluo-jiuzhi,果洛州久治县,2024-05,0.23825000000000002
haibei-gangcha,海北州刚察县,2024-05,0.23620000000000002
huangnan-zeku,黄南州泽库县,2024-05,0.2058
ganzi-shiqu,甘孜州石渠县,2024-05,0.20650000000000002
ganzi-seda,甘孜州色达县,2024-05,0.16765000000000002
aba-hongyuan,阿坝州红原县,2024-05,0.55665
gannan-luqu,甘南州碌曲县,2024-05,0.17435
naqu-bange,那曲市班戈县,2024-06,0.2106
naqu-seni,那曲市色尼区,2024-06,0.20065000000000002
naqu-nierong,那曲市聂荣县,2024-06,0.36065
naqu-anduo,那曲市安多县,2024-06,0.18645
naqu-shenzha,那曲市申扎县,2024-06,0.12655
changdu-karuo,昌都市卡若区,2024-06,0.0771
changdu-luolong,昌都市洛隆县,2024-06,0.32685000000000003
changdu-leiwuqi,昌都市类乌齐县,2024-06,0.2479
