region_id,region_name,date,snow_cover
naqu-bange,那曲市班戈县,2024-01,65.3
naqu-bange,那曲市班戈县,2024-02,68.1
naqu-bange,那曲市班戈县,2024-03,61.8
naqu-bange,那曲市班戈县,2024-04,56.8
naqu-bange,那曲市班戈县,2024-05,48.8
naqu-bange,那曲市班戈县,2024-06,40.2
naqu-bange,那曲市班戈县,2024-07,33.0
naqu-bange,那曲市班戈县,2024-08,36.4
naqu-bange,那曲市班戈县,2024-09,26.5
naqu-bange,那曲市班戈县,2024-10,31.6
naqu-bange,那曲市班戈县,2024-11,30.2
naqu-bange,那曲市班戈县,2024-12,33.5
naqu-seni,那曲市色尼区,2024-01,56.4
naqu-seni,那曲市色尼区,2024-02,56.6
naqu-seni,那曲市色尼区,2024-03,54.8
naqu-seni,那曲市色尼区,2024-04,45.1
naqu-seni,那曲市色尼区,2024-05,37.7
naqu-seni,那曲市色尼区,2024-06,38.5
naqu-seni,那曲市色尼区,2024-07,32.5
naqu-seni,那曲市色尼区,2024-08,30.8
naqu-seni,那曲市色尼区,2024-09,28.8
naqu-seni,那曲市色尼区,2024-10,25.0
naqu-seni,那曲市色尼区,2024-11,30.7
naqu-seni,那曲市色尼区,2024-12,26.0
naqu-nierong,那曲市聂荣县,2024-01,65.5
naqu-nierong,那曲市聂荣县,2024-02,61.7
naqu-nierong,那曲市聂荣县,2024-03,57.1
naqu-nierong,那曲市聂荣县,2024-04,54.4
naqu-nierong,那曲市聂荣县,2024-05,49.0
naqu-nierong,那曲市聂荣县,2024-06,41.1
naqu-nierong,那曲市聂荣县,2024-07,38.7
naqu-nierong,那曲市聂荣县,2024-08,31.8
naqu-nierong,那曲市聂荣县,2024-09,25.7
naqu-nierong,那曲市聂荣县,2024-10,33.5
naqu-nierong,那曲市聂荣县,2024-11,25.5
naqu-nierong,那曲市聂荣县,2024-12,26.9
naqu-anduo,那曲市安多县,2024-01,67.6
naqu-anduo,那曲市安多县,2024-02,70.5
naqu-anduo,那曲市安多县,2024-03,64.2
naqu-anduo,那曲市安多县,2024-04,55.6
naqu-anduo,那曲市安多县,2024-05,51.3
naqu-anduo,那曲市安多县,2024-06,40.1
naqu-anduo,那曲市安多县,2024-07,44.9
naqu-anduo,那曲市安多县,2024-08,33.9
naqu-anduo,那曲市安多县,2024-09,34.2
naqu-anduo,那曲市安多县,2024-10,34.0
naqu-anduo,那曲市安多县,2024-11,38.0
naqu-anduo,那曲市安多县,2024-12,35.2
naqu-shenzha,那曲市申扎县,2024-01,64.7
naqu-shenzha,那曲市申扎县,2024-02,63.1
naqu-shenzha,那曲市申扎县,2024-03,57.1
naqu-shenzha,那曲市申扎县,2024-04,52.9
naqu-shenzha,那曲市申扎县,2024-05,46.2
naqu-shenzha,那曲市申扎县,2024-06,40.7
naqu-shenzha,那曲市申扎县,2024-07,32.7
naqu-shenzha,那曲市申扎县,2024-08,34.7
naqu-shenzha,那曲市申扎县,2024-09,33.1
naqu-shenzha,那曲市申扎县,2024-10,36.5
naqu-shenzha,那曲市申扎县,2024-11,33.4
naqu-shenzha,那曲市申扎县,2024-12,32.2
changdu-karuo,昌都市卡若区,2024-01,18.2
changdu-karuo,昌都市卡若区,2024-02,21.4
changdu-karuo,昌都市卡若区,2024-03,15.2
changdu-karuo,昌都市卡若区,2024-04,8.9
changdu-karuo,昌都市卡若区,2024-05,6.0
changdu-karuo,昌都市卡若区,2024-06,0
changdu-karuo,昌都市卡若区,2024-07,5.7
changdu-karuo,昌都市卡若区,2024-08,4.4
changdu-karuo,昌都市卡若区,2024-09,0
changdu-karuo,昌都市卡若区,2024-10,0
